restaurantId,restaurant_name,user_id,date,count_star_ratings,count_checkin,ratings,useful_count,funny_count,cool_count,reviews_count,useful_clicked,funny_clicked,cool_clicked,review
9000011,TuLan999910j,581423,Mon Oct 23 2017 05:55:54 GMT-0700 (PDT),3,5,5,3,2,0,552,false,false,false,"Tilde banh mi vexillologist lyft, four loko taxidermy cronut photo booth street art ennui keytar direct trade swag freegan. Asymmetrical street art meh, squid vinyl sriracha lomo portland. Green juice cold-pressed drinking vinegar trust fund pickled, yr copper mug stumptown actually williamsburg."
9000012,TuLan999911j,682765,Sun Dec 27 2015 04:59:36 GMT-0800 (PST),3,0,5,0,0,2,572,false,false,false,"Microdosing activated charcoal raw denim kombucha normcore blog truffaut retro meggings helvetica locavore keytar brunch. Taiyaki schlitz ugh hot chicken mixtape. Single-origin coffee normcore cronut church-key echo park."
9000013,TuLan999912j,632227,Thu Dec 07 2017 04:05:09 GMT-0800 (PST),1,7,1,1,2,3,306,false,false,false,"Hammock mixtape shabby chic yuccie live-edge af humblebrag banh mi gochujang keytar. Blog cornhole mlkshk fam art party tbh unicorn ramps cray poke wayfarers messenger bag air plant pork belly forage."
9000014,TuLan999913j,831822,Wed Apr 12 2017 19:00:13 GMT-0700 (PDT),3,8,1,1,2,2,6,false,false,false,"Disrupt pinterest flannel seitan microdosing intelligentsia mixtape williamsburg glossier semiotics vegan migas artisan. Cloud bread selvage woke art party chambray adaptogen YOLO unicorn four loko kombucha beard."
9000015,TuLan999914j,433338,Fri Sep 02 2016 04:32:54 GMT-0700 (PDT),3,6,5,3,2,2,18,false,false,false,"Tilde banh mi vexillologist lyft, four loko taxidermy cronut photo booth street art ennui keytar direct trade swag freegan. Asymmetrical street art meh, squid vinyl sriracha lomo portland. Green juice cold-pressed drinking vinegar trust fund pickled, yr copper mug stumptown actually williamsburg."
9000016,TuLan999915j,535547,Sat Aug 25 2018 14:18:07 GMT-0700 (PDT),3,1,2,2,0,1,111,false,false,false,"Microdosing activated charcoal raw denim kombucha normcore blog truffaut retro meggings helvetica locavore keytar brunch. Taiyaki schlitz ugh hot chicken mixtape. Single-origin coffee normcore cronut church-key echo park."
9000017,TuLan999916j,804277,Sun May 07 2017 13:54:32 GMT-0700 (PDT),4,7,3,0,1,3,450,false,false,false,"Godard slow-carb retro cloud bread four dollar toast. Green juice chartreuse pinterest humblebrag, ramps tacos bitters. Vaporware humblebrag put a bird on it wolf tousled knausgaard banh mi blog."
9000018,TuLan999917j,310505,Tue Dec 26 2017 13:36:57 GMT-0800 (PST),2,4,2,1,1,3,595,false,false,false,"Cronut succulents squid etsy venmo photo booth blog lyft umami kombucha fam. Asymmetrical small batch leggings VHS. Typewriter four loko irony umami, vape keffiyeh squid post-ironic. Gastropub locavore disrupt brunch."
9000019,TuLan999918j,407686,Tue Mar 31 2015 10:04:02 GMT-0700 (PDT),4,8,4,1,3,3,31,false,false,false,"Unicorn pok pok meggings iceland. Lo-fi XOXO tofu semiotics mixtape next level skateboard affogato raw denim art party literally austin normcore wayfarers."
9000020,TuLan999919j,216926,Wed Oct 18 2017 13:46:53 GMT-0700 (PDT),3,5,2,0,0,1,610,false,false,false,"Cronut succulents squid etsy venmo photo booth blog lyft umami kombucha fam. Asymmetrical small batch leggings VHS. Typewriter four loko irony umami, vape keffiyeh squid post-ironic. Gastropub locavore disrupt brunch."
9000021,TuLan999920j,196770,Sat Dec 17 2016 19:59:52 GMT-0800 (PST),2,5,4,3,3,0,293,false,false,false,"Health goth chartreuse raw denim wolf. Sustainable marfa occupy echo park ugh waistcoat hoodie. Fanny pack normcore organic microdosing, XOXO 3 wolf moon leggings. Gastropub health goth post-ironic selfies."
9000022,TuLan999921j,540692,Thu Mar 16 2017 10:14:33 GMT-0700 (PDT),2,2,2,0,3,2,439,false,false,false,"Sartorial artisan hexagon chia venmo. Chartreuse adaptogen 8-bit vexillologist taxidermy venmo. Four dollar toast hexagon iceland chambray DIY street art art party ramps narwhal letterpress franzen snackwave offal gentrify. VHS franzen copper mug kombucha, taiyaki DIY offal."
9000023,TuLan999922j,454721,Sat Mar 03 2018 01:58:59 GMT-0800 (PST),4,4,5,3,3,0,534,false,false,false,"Sriracha hoodie meh, try-hard fashion axe enamel pin cold-pressed locavore plaid lyft cray. Tousled humblebrag meggings, seitan pork belly typewriter cornhole bespoke cliche chicharrones thundercats craft beer bicycle rights."
9000024,TuLan999923j,834351,Fri Apr 21 2017 08:18:49 GMT-0700 (PDT),3,3,1,0,1,1,215,false,false,false,"Lorem ipsum dolor amet celiac cred subway tile cardigan vinyl, chambray offal vexillologist pickled. Offal gluten-free PBR&B, occupy bitters tousled semiotics godard photo booth."
9000025,TuLan999924j,322228,Sat Jun 18 2016 17:03:26 GMT-0700 (PDT),1,3,1,3,2,1,500,false,false,false,"Sriracha hoodie meh, try-hard fashion axe enamel pin cold-pressed locavore plaid lyft cray. Tousled humblebrag meggings, seitan pork belly typewriter cornhole bespoke cliche chicharrones thundercats craft beer bicycle rights."
9000026,TuLan999925j,326158,Sun Apr 30 2017 12:15:11 GMT-0700 (PDT),1,0,3,3,0,3,190,false,false,false,"Cronut succulents squid etsy venmo photo booth blog lyft umami kombucha fam. Asymmetrical small batch leggings VHS. Typewriter four loko irony umami, vape keffiyeh squid post-ironic. Gastropub locavore disrupt brunch."
9000027,TuLan999926j,992410,Mon Aug 10 2015 16:46:42 GMT-0700 (PDT),4,0,3,0,1,1,686,false,false,false,"Tilde banh mi vexillologist lyft, four loko taxidermy cronut photo booth street art ennui keytar direct trade swag freegan. Asymmetrical street art meh, squid vinyl sriracha lomo portland. Green juice cold-pressed drinking vinegar trust fund pickled, yr copper mug stumptown actually williamsburg."
9000028,TuLan999927j,361172,Mon Oct 09 2017 13:17:19 GMT-0700 (PDT),1,7,3,0,0,2,618,false,false,false,"Tousled paleo small batch stumptown. Dreamcatcher organic affogato forage jianbing schlitz flannel af fanny pack glossier wolf wayfarers sriracha plaid tote bag."
9000029,TuLan999928j,138477,Fri Apr 21 2017 12:03:28 GMT-0700 (PDT),1,7,4,2,0,3,90,false,false,false,"Cliche iPhone YOLO, health goth hexagon selvage chia cred pitchfork chicharrones raclette. Franzen hell of shaman neutra lomo green juice kogi ethical tousled mlkshk knausgaard truffaut. Pickled direct trade polaroid art party."
9000030,TuLan999929j,505517,Tue Apr 03 2018 09:30:57 GMT-0700 (PDT),2,0,1,2,0,0,493,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000031,TuLan999930j,333756,Fri Jan 29 2016 15:26:21 GMT-0800 (PST),2,7,5,2,1,2,620,false,false,false,"Occupy microdosing photo booth, authentic butcher waistcoat try-hard ugh lo-fi fanny pack adaptogen XOXO scenester food truck. Poke umami cloud bread organic asymmetrical fingerstache iPhone pitchfork street art pok pok air plant."
9000032,TuLan999931j,65820,Wed Feb 18 2015 21:17:54 GMT-0800 (PST),2,5,5,0,1,2,113,false,false,false,"Small batch unicorn twee bespoke, migas ugh synth vexillologist tumeric fashion axe banjo banh mi. Brunch offal wolf mustache green juice tilde hammock hella XOXO."
9000033,TuLan999932j,375165,Sun Apr 10 2016 20:56:03 GMT-0700 (PDT),2,6,4,3,1,3,387,false,false,false,"Sartorial artisan hexagon chia venmo. Chartreuse adaptogen 8-bit vexillologist taxidermy venmo. Four dollar toast hexagon iceland chambray DIY street art art party ramps narwhal letterpress franzen snackwave offal gentrify. VHS franzen copper mug kombucha, taiyaki DIY offal."
9000034,TuLan999933j,169136,Mon May 15 2017 17:13:41 GMT-0700 (PDT),2,3,4,3,1,1,20,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000035,TuLan999934j,815049,Fri Jan 05 2018 12:39:49 GMT-0800 (PST),5,5,2,3,1,3,370,false,false,false,"Tilde banh mi vexillologist lyft, four loko taxidermy cronut photo booth street art ennui keytar direct trade swag freegan. Asymmetrical street art meh, squid vinyl sriracha lomo portland. Green juice cold-pressed drinking vinegar trust fund pickled, yr copper mug stumptown actually williamsburg."
9000036,TuLan999935j,429841,Mon Jul 09 2018 06:23:19 GMT-0700 (PDT),1,2,1,2,3,3,264,false,false,false,"Cliche iPhone YOLO, health goth hexagon selvage chia cred pitchfork chicharrones raclette. Franzen hell of shaman neutra lomo green juice kogi ethical tousled mlkshk knausgaard truffaut. Pickled direct trade polaroid art party."
9000037,TuLan999936j,208777,Mon Aug 15 2016 01:22:23 GMT-0700 (PDT),4,7,4,0,0,2,743,false,false,false,"Celiac disrupt chillwave health goth bushwick williamsburg man bun activated charcoal twee hoodie. Meditation adaptogen palo santo, tumeric normcore cardigan tousled mlkshk street art."
9000038,TuLan999937j,538379,Sat Apr 02 2016 11:19:01 GMT-0700 (PDT),2,4,5,2,1,0,237,false,false,false,"Small batch unicorn twee bespoke, migas ugh synth vexillologist tumeric fashion axe banjo banh mi. Brunch offal wolf mustache green juice tilde hammock hella XOXO."
9000039,TuLan999938j,434983,Sat May 19 2018 20:22:33 GMT-0700 (PDT),2,2,2,0,1,2,685,false,false,false,"Cliche iPhone YOLO, health goth hexagon selvage chia cred pitchfork chicharrones raclette. Franzen hell of shaman neutra lomo green juice kogi ethical tousled mlkshk knausgaard truffaut. Pickled direct trade polaroid art party."
9000040,TuLan999939j,962273,Mon Aug 13 2018 05:07:49 GMT-0700 (PDT),5,7,3,1,3,3,453,false,false,false,"Kitsch lomo jean shorts portland, twee roof party paleo iceland actually four loko. Cliche succulents bespoke pour-over hot chicken activated charcoal, jean shorts wolf literally austin unicorn letterpress."
9000041,TuLan999940j,198420,Wed Jul 11 2018 15:59:09 GMT-0700 (PDT),5,3,1,2,1,0,412,false,false,false,"Gastropub street art organic yr wolf listicle freegan sartorial bitters letterpress raw denim twee messenger bag shoreditch swag. Cardigan shaman glossier, ennui master cleanse photo booth salvia keffiyeh chia chartreuse banh mi everyday carry pop-up."
9000042,TuLan999941j,100420,Fri May 08 2015 22:58:13 GMT-0700 (PDT),3,7,2,3,3,2,469,false,false,false,"Gluten-free echo park taxidermy, mixtape hammock umami kitsch. Offal tote bag tilde, cornhole trust fund ramps messenger bag vice succulents photo booth cardigan glossier pug."
9000043,TuLan999942j,516886,Tue Mar 29 2016 22:48:37 GMT-0700 (PDT),2,0,3,2,0,3,742,false,false,false,"Tilde banh mi vexillologist lyft, four loko taxidermy cronut photo booth street art ennui keytar direct trade swag freegan. Asymmetrical street art meh, squid vinyl sriracha lomo portland. Green juice cold-pressed drinking vinegar trust fund pickled, yr copper mug stumptown actually williamsburg."
9000044,TuLan999943j,892770,Mon Oct 17 2016 07:15:12 GMT-0700 (PDT),5,0,3,2,2,3,639,false,false,false,"Celiac disrupt chillwave health goth bushwick williamsburg man bun activated charcoal twee hoodie. Meditation adaptogen palo santo, tumeric normcore cardigan tousled mlkshk street art."
9000045,TuLan999944j,143235,Thu May 10 2018 23:27:36 GMT-0700 (PDT),1,3,5,0,3,0,397,false,false,false,"Direct trade kitsch coloring book glossier neutra. Farm-to-table seitan letterpress, cronut freegan flannel sustainable neutra hashtag tofu art party."
9000046,TuLan999945j,448764,Mon Jun 05 2017 07:34:43 GMT-0700 (PDT),3,5,3,0,2,0,31,false,false,false,"Tacos locavore tousled tumblr cronut pok pok coloring book chambray celiac tofu pour-over banh mi. Keffiyeh direct trade beard vice palo santo, aesthetic pok pok. Hot chicken keytar health goth post-ironic, yr pickled jianbing glossier."
9000047,TuLan999946j,684826,Tue Apr 05 2016 20:08:16 GMT-0700 (PDT),2,7,5,2,3,3,441,false,false,false,"Health goth chartreuse raw denim wolf. Sustainable marfa occupy echo park ugh waistcoat hoodie. Fanny pack normcore organic microdosing, XOXO 3 wolf moon leggings. Gastropub health goth post-ironic selfies."
9000048,TuLan999947j,531278,Sat May 12 2018 11:31:30 GMT-0700 (PDT),2,5,5,0,0,0,700,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000049,TuLan999948j,589312,Thu Dec 08 2016 07:50:33 GMT-0800 (PST),4,8,5,2,3,1,652,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000050,TuLan999949j,625290,Tue Feb 16 2016 18:03:26 GMT-0800 (PST),5,6,2,0,2,2,269,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000051,TuLan999950j,700423,Mon Jul 24 2017 16:49:51 GMT-0700 (PDT),4,5,4,1,3,3,551,false,false,false,"Godard slow-carb retro cloud bread four dollar toast. Green juice chartreuse pinterest humblebrag, ramps tacos bitters. Vaporware humblebrag put a bird on it wolf tousled knausgaard banh mi blog."
9000052,TuLan999951j,616625,Wed Nov 11 2015 20:39:19 GMT-0800 (PST),4,2,1,0,3,1,340,false,false,false,"Small batch unicorn twee bespoke, migas ugh synth vexillologist tumeric fashion axe banjo banh mi. Brunch offal wolf mustache green juice tilde hammock hella XOXO."
9000053,TuLan999952j,361483,Sat Oct 01 2016 15:21:58 GMT-0700 (PDT),1,8,3,0,2,0,253,false,false,false,"Sriracha hoodie meh, try-hard fashion axe enamel pin cold-pressed locavore plaid lyft cray. Tousled humblebrag meggings, seitan pork belly typewriter cornhole bespoke cliche chicharrones thundercats craft beer bicycle rights."
9000054,TuLan999953j,874384,Sat Aug 19 2017 05:04:15 GMT-0700 (PDT),2,1,4,2,2,2,56,false,false,false,"Cliche iPhone YOLO, health goth hexagon selvage chia cred pitchfork chicharrones raclette. Franzen hell of shaman neutra lomo green juice kogi ethical tousled mlkshk knausgaard truffaut. Pickled direct trade polaroid art party."
9000055,TuLan999954j,275247,Mon Sep 24 2018 16:18:21 GMT-0700 (PDT),1,0,5,1,3,0,353,false,false,false,"Celiac disrupt chillwave health goth bushwick williamsburg man bun activated charcoal twee hoodie. Meditation adaptogen palo santo, tumeric normcore cardigan tousled mlkshk street art."
9000056,TuLan999955j,948019,Tue Aug 23 2016 01:59:50 GMT-0700 (PDT),4,1,3,1,1,1,438,false,false,false,"Tacos locavore tousled tumblr cronut pok pok coloring book chambray celiac tofu pour-over banh mi. Keffiyeh direct trade beard vice palo santo, aesthetic pok pok. Hot chicken keytar health goth post-ironic, yr pickled jianbing glossier."
9000057,TuLan999956j,952594,Sat Jul 02 2016 07:21:40 GMT-0700 (PDT),1,4,3,0,1,2,612,false,false,false,"Hammock mixtape shabby chic yuccie live-edge af humblebrag banh mi gochujang keytar. Blog cornhole mlkshk fam art party tbh unicorn ramps cray poke wayfarers messenger bag air plant pork belly forage."
9000058,TuLan999957j,557252,Wed Aug 19 2015 17:54:28 GMT-0700 (PDT),5,5,2,1,3,1,673,false,false,false,"Unicorn hoodie banh mi slow-carb irony lyft hell of mustache VHS edison bulb freegan cronut pickled adaptogen yuccie. Taxidermy pickled blog lomo raw denim photo booth."
9000059,TuLan999958j,583828,Wed Jul 05 2017 23:52:38 GMT-0700 (PDT),5,4,4,1,2,1,494,false,false,false,"Gluten-free echo park taxidermy, mixtape hammock umami kitsch. Offal tote bag tilde, cornhole trust fund ramps messenger bag vice succulents photo booth cardigan glossier pug."
9000060,TuLan999959j,245438,Fri Apr 27 2018 11:50:57 GMT-0700 (PDT),3,6,3,2,2,3,497,false,false,false,"Tacos locavore tousled tumblr cronut pok pok coloring book chambray celiac tofu pour-over banh mi. Keffiyeh direct trade beard vice palo santo, aesthetic pok pok. Hot chicken keytar health goth post-ironic, yr pickled jianbing glossier."
9000061,TuLan999960j,509495,Mon Feb 19 2018 20:26:53 GMT-0800 (PST),5,7,2,2,2,2,589,false,false,false,"Direct trade kitsch coloring book glossier neutra. Farm-to-table seitan letterpress, cronut freegan flannel sustainable neutra hashtag tofu art party."
9000062,TuLan999961j,275079,Tue Jun 12 2018 23:52:05 GMT-0700 (PDT),5,3,1,3,3,1,202,false,false,false,"Disrupt pinterest flannel seitan microdosing intelligentsia mixtape williamsburg glossier semiotics vegan migas artisan. Cloud bread selvage woke art party chambray adaptogen YOLO unicorn four loko kombucha beard."
9000063,TuLan999962j,48188,Wed Dec 21 2016 16:10:09 GMT-0800 (PST),4,6,3,0,3,2,16,false,false,false,"Unicorn hoodie banh mi slow-carb irony lyft hell of mustache VHS edison bulb freegan cronut pickled adaptogen yuccie. Taxidermy pickled blog lomo raw denim photo booth."
9000064,TuLan999963j,189373,Thu Oct 19 2017 16:42:51 GMT-0700 (PDT),5,1,4,3,3,3,664,false,false,false,"Mumblecore gochujang swag, pok pok synth adaptogen microdosing stumptown glossier echo park flexitarian keytar before they sold out activated charcoal. Stumptown thundercats franzen direct trade."
9000065,TuLan999964j,267757,Thu Jun 01 2017 06:11:51 GMT-0700 (PDT),2,6,2,3,1,3,747,false,false,false,"Gluten-free echo park taxidermy, mixtape hammock umami kitsch. Offal tote bag tilde, cornhole trust fund ramps messenger bag vice succulents photo booth cardigan glossier pug."
9000066,TuLan999965j,65024,Thu May 17 2018 19:31:36 GMT-0700 (PDT),5,3,5,3,1,1,580,false,false,false,"Unicorn pok pok meggings iceland. Lo-fi XOXO tofu semiotics mixtape next level skateboard affogato raw denim art party literally austin normcore wayfarers."
9000067,TuLan999966j,173991,Tue Nov 29 2016 12:25:50 GMT-0800 (PST),1,8,5,2,1,0,552,false,false,false,"Direct trade kitsch coloring book glossier neutra. Farm-to-table seitan letterpress, cronut freegan flannel sustainable neutra hashtag tofu art party."
9000068,TuLan999967j,796737,Mon May 22 2017 21:15:08 GMT-0700 (PDT),1,7,1,2,3,0,673,false,false,false,"Cronut succulents squid etsy venmo photo booth blog lyft umami kombucha fam. Asymmetrical small batch leggings VHS. Typewriter four loko irony umami, vape keffiyeh squid post-ironic. Gastropub locavore disrupt brunch."
9000069,TuLan999968j,912719,Thu Sep 27 2018 10:30:21 GMT-0700 (PDT),3,7,3,2,2,2,447,false,false,false,"Lorem ipsum dolor amet paleo dreamcatcher sustainable migas swag shaman. Pitchfork austin next level shabby chic pok pok jean shorts pork belly, church-key yuccie mumblecore hell of."
9000070,TuLan999969j,25722,Thu Sep 24 2015 00:01:49 GMT-0700 (PDT),3,1,4,1,2,1,249,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000071,TuLan999970j,549519,Wed Jun 29 2016 18:32:49 GMT-0700 (PDT),5,2,5,3,0,3,184,false,false,false,"Gastropub street art organic yr wolf listicle freegan sartorial bitters letterpress raw denim twee messenger bag shoreditch swag. Cardigan shaman glossier, ennui master cleanse photo booth salvia keffiyeh chia chartreuse banh mi everyday carry pop-up."
9000072,TuLan999971j,882598,Mon Sep 24 2018 20:22:15 GMT-0700 (PDT),1,0,2,2,2,3,142,false,false,false,"Occupy microdosing photo booth, authentic butcher waistcoat try-hard ugh lo-fi fanny pack adaptogen XOXO scenester food truck. Poke umami cloud bread organic asymmetrical fingerstache iPhone pitchfork street art pok pok air plant."
9000073,TuLan999972j,737862,Fri Mar 02 2018 02:44:50 GMT-0800 (PST),3,8,5,3,3,0,498,false,false,false,"Gluten-free echo park taxidermy, mixtape hammock umami kitsch. Offal tote bag tilde, cornhole trust fund ramps messenger bag vice succulents photo booth cardigan glossier pug."
9000074,TuLan999973j,511239,Wed Mar 02 2016 18:08:13 GMT-0800 (PST),2,8,1,3,0,0,619,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000075,TuLan999974j,713750,Thu Jul 19 2018 00:39:36 GMT-0700 (PDT),4,8,3,0,3,0,743,false,false,false,"Tousled paleo small batch stumptown. Dreamcatcher organic affogato forage jianbing schlitz flannel af fanny pack glossier wolf wayfarers sriracha plaid tote bag."
9000076,TuLan999975j,525896,Wed Apr 18 2018 05:57:21 GMT-0700 (PDT),5,2,3,2,2,3,671,false,false,false,"Tilde banh mi vexillologist lyft, four loko taxidermy cronut photo booth street art ennui keytar direct trade swag freegan. Asymmetrical street art meh, squid vinyl sriracha lomo portland. Green juice cold-pressed drinking vinegar trust fund pickled, yr copper mug stumptown actually williamsburg."
9000077,TuLan999976j,940158,Sat Dec 02 2017 16:07:00 GMT-0800 (PST),3,0,3,0,2,0,408,false,false,false,"Health goth chartreuse raw denim wolf. Sustainable marfa occupy echo park ugh waistcoat hoodie. Fanny pack normcore organic microdosing, XOXO 3 wolf moon leggings. Gastropub health goth post-ironic selfies."
9000078,TuLan999977j,571930,Mon May 11 2015 04:46:03 GMT-0700 (PDT),5,0,2,2,3,1,263,false,false,false,"Lorem ipsum dolor amet celiac cred subway tile cardigan vinyl, chambray offal vexillologist pickled. Offal gluten-free PBR&B, occupy bitters tousled semiotics godard photo booth."
9000079,TuLan999978j,404587,Sun Jan 28 2018 05:24:24 GMT-0800 (PST),4,3,3,3,1,0,560,false,false,false,"Tacos locavore tousled tumblr cronut pok pok coloring book chambray celiac tofu pour-over banh mi. Keffiyeh direct trade beard vice palo santo, aesthetic pok pok. Hot chicken keytar health goth post-ironic, yr pickled jianbing glossier."
9000080,TuLan999979j,101362,Mon Apr 23 2018 15:08:41 GMT-0700 (PDT),5,6,2,2,1,0,668,false,false,false,"Lorem ipsum dolor amet paleo dreamcatcher sustainable migas swag shaman. Pitchfork austin next level shabby chic pok pok jean shorts pork belly, church-key yuccie mumblecore hell of."
9000081,TuLan999980j,36633,Fri Jan 09 2015 12:37:49 GMT-0800 (PST),2,5,3,3,3,0,737,false,false,false,"Unicorn hoodie banh mi slow-carb irony lyft hell of mustache VHS edison bulb freegan cronut pickled adaptogen yuccie. Taxidermy pickled blog lomo raw denim photo booth."
9000082,TuLan999981j,486196,Fri Apr 13 2018 23:10:35 GMT-0700 (PDT),3,4,5,1,1,1,562,false,false,false,"Direct trade kitsch coloring book glossier neutra. Farm-to-table seitan letterpress, cronut freegan flannel sustainable neutra hashtag tofu art party."
9000083,TuLan999982j,594370,Mon Sep 10 2018 16:25:44 GMT-0700 (PDT),5,2,3,1,3,3,438,false,false,false,"Gluten-free echo park taxidermy, mixtape hammock umami kitsch. Offal tote bag tilde, cornhole trust fund ramps messenger bag vice succulents photo booth cardigan glossier pug."
9000084,TuLan999983j,50200,Wed Sep 02 2015 17:05:34 GMT-0700 (PDT),4,0,5,0,1,0,600,false,false,false,"Sriracha hoodie meh, try-hard fashion axe enamel pin cold-pressed locavore plaid lyft cray. Tousled humblebrag meggings, seitan pork belly typewriter cornhole bespoke cliche chicharrones thundercats craft beer bicycle rights."
9000085,TuLan999984j,579921,Fri Jun 16 2017 01:52:41 GMT-0700 (PDT),3,1,2,2,2,2,549,false,false,false,"Small batch unicorn twee bespoke, migas ugh synth vexillologist tumeric fashion axe banjo banh mi. Brunch offal wolf mustache green juice tilde hammock hella XOXO."
9000086,TuLan999985j,752331,Mon Mar 12 2018 01:18:34 GMT-0700 (PDT),3,3,4,3,3,1,580,false,false,false,"Lorem ipsum dolor amet paleo dreamcatcher sustainable migas swag shaman. Pitchfork austin next level shabby chic pok pok jean shorts pork belly, church-key yuccie mumblecore hell of."
9000087,TuLan999986j,480197,Tue Jan 02 2018 21:02:45 GMT-0800 (PST),4,6,4,2,2,3,673,false,false,false,"Gastropub street art organic yr wolf listicle freegan sartorial bitters letterpress raw denim twee messenger bag shoreditch swag. Cardigan shaman glossier, ennui master cleanse photo booth salvia keffiyeh chia chartreuse banh mi everyday carry pop-up."
9000088,TuLan999987j,667535,Fri May 15 2015 20:18:10 GMT-0700 (PDT),4,3,2,0,1,2,245,false,false,false,"Lorem ipsum dolor amet paleo dreamcatcher sustainable migas swag shaman. Pitchfork austin next level shabby chic pok pok jean shorts pork belly, church-key yuccie mumblecore hell of."
9000089,TuLan999988j,95557,Wed Feb 15 2017 14:24:08 GMT-0800 (PST),3,4,3,3,3,1,16,false,false,false,"Stumptown VHS meh, kombucha celiac pop-up photo booth selvage thundercats locavore portland. Cronut squid godard, pour-over ethical man braid mustache. Chillwave retro af air plant blog chicharrones craft beer."
